Name,Date,Location,Type,Region,Latitude,Longitude,Weather Code,Max Temperature,Min Temperature,Weather Forecast
Biblioteka,3/9/2024, Sunset Tavern,Music,Fremont / Ballard,36.0254577,-114.9637699,0,21.8,9.7,"{'latitude': 36.026024, 'longitude': -114.974945, 'generationtime_ms': 0.09202957153320312, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 615.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [0], 'temperature_2m_max': [21.8], 'temperature_2m_min': [9.7]}}"
Cowboy Disco,3/30/2024, High Dive,Music,Fremont / Ballard,41.7111625,-93.6318959,3,14.1,-0.3,"{'latitude': 41.69963, 'longitude': -93.64569, 'generationtime_ms': 0.05602836608886719, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 293.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [3], 'temperature_2m_max': [14.1], 'temperature_2m_min': [-0.3]}}"
Washi Transformed New Expressions in Japanese Paper,Now through 4/26/2026, Bellevue Arts Museum,Museums,Bellevue / Eastside,-21.266983,55.4113864,3,29.9,22.2,"{'latitude': -21.25, 'longitude': 55.5, 'generationtime_ms': 0.033020973205566406, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 140.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [3], 'temperature_2m_max': [29.9], 'temperature_2m_min': [22.2]}}"
Clarence Moriwaki,3/18/2024, Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,1,6.1,-1.7,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.0400543212890625, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 77.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.1], 'temperature_2m_min': [-1.7]}}"
REMEMBRANCE: The Legacy of Executive Order 9066 in Washington State,Ongoing, Washington State History Museum,Museums,South,47.2447212,-122.43608807502436,2,6.6,-1.2,"{'latitude': 47.244843, 'longitude': -122.42595, 'generationtime_ms': 0.06401538848876953, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 18.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [2], 'temperature_2m_max': [6.6], 'temperature_2m_min': [-1.2]}}"
Seattle Kraken vs. Anaheim Ducks,3/28/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,1,6.3,-1.5,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.07200241088867188, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 45.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.3], 'temperature_2m_min': [-1.5]}}"
The Veronicas,4/5/2024, The Showbox,Music,Downtown,47.6085136,-122.3394726,1,6.3,-1.5,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.07200241088867188, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 42.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.3], 'temperature_2m_min': [-1.5]}}"
Yuri,3/15/2024, The Moore Theatre,Music,Downtown,42.2896932,-83.7207314,3,7.2,4.1,"{'latitude': 42.292328, 'longitude': -83.736755, 'generationtime_ms': 0.05602836608886719, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 263.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [3], 'temperature_2m_max': [7.2], 'temperature_2m_min': [4.1]}}"
Frye in Focus: LINEAJES + Frye Salon,Now through 3/9/2024, Frye Art Museum,Museums,Capitol Hill / Central District,47.60719095,-122.32405377084555,0,6.0,-1.6,"{'latitude': 47.595562, 'longitude': -122.32442, 'generationtime_ms': 0.07200241088867188, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 102.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [0], 'temperature_2m_max': [6.0], 'temperature_2m_min': [-1.6]}}"
Becky Selengut: Misunderstood Vegetables,4/3/2024, Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,1,6.1,-1.7,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.07104873657226562, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 77.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-06'], 'weather_code': [1], 'temperature_2m_max': [6.1], 'temperature_2m_min': [-1.7]}}"
